time,power,soc,distance,speed,segment_name,segment_type,cumulative_energy_deployed_j
0.0,120000.0,0.7952,7.5,55.87962962962963,Main Straight,straight,24000.0
0.2,120000.0,0.7904,22.5,56.52777777777778,Main Straight,straight,48000.0
0.4,120000.0,0.7856,37.5,57.17592592592593,Main Straight,straight,72000.0
0.6000000000000001,120000.0,0.7807999999999999,52.5,57.824074074074076,Main Straight,straight,96000.0
0.8,120000.0,0.7759999999999999,67.5,58.47222222222223,Main Straight,straight,120000.0
1.0,120000.0,0.7711999999999999,82.5,59.12037037037037,Main Straight,straight,144000.0
1.2000000000000002,120000.0,0.7663999999999999,97.5,59.76851851851852,Main Straight,straight,168000.0
1.4000000000000001,120000.0,0.7615999999999998,112.5,60.41666666666667,Main Straight,straight,192000.0
1.6,120000.0,0.7567999999999998,127.5,61.064814814814824,Main Straight,straight,216000.0
1.8,120000.0,0.7519999999999998,142.5,61.71296296296296,Main Straight,straight,240000.0
2.0,120000.0,0.7471999999999998,157.5,62.361111111111114,Main Straight,straight,264000.0
2.2,120000.0,0.7423999999999997,172.5,63.00925925925927,Main Straight,straight,288000.0
2.4000000000000004,0.0,0.7423999999999997,187.5,63.657407407407405,Main Straight,straight,288000.0
2.6,0.0,0.7423999999999997,202.5,64.30555555555556,Main Straight,straight,288000.0
2.8000000000000003,0.0,0.7423999999999997,217.5,64.9537037037037,Main Straight,straight,288000.0
3.0,0.0,0.7423999999999997,232.50000000000003,65.60185185185186,Main Straight,straight,288000.0
3.2,0.0,0.7423999999999997,247.50000000000003,66.25,Main Straight,straight,288000.0
3.4000000000000004,0.0,0.7423999999999997,262.5,66.89814814814815,Main Straight,straight,288000.0
3.6,0.0,0.7423999999999997,277.5,67.54629629629629,Main Straight,straight,288000.0
3.8000000000000003,0.0,0.7423999999999997,292.5,68.19444444444444,Main Straight,straight,288000.0
4.0,0.0,0.7423999999999997,307.5,68.8425925925926,Main Straight,straight,288000.0
4.2,0.0,0.7423999999999997,322.5,69.49074074074073,Main Straight,straight,288000.0
4.4,0.0,0.7423999999999997,337.5,70.13888888888889,Main Straight,straight,288000.0
4.6000000000000005,0.0,0.7423999999999997,352.5,70.78703703703704,Main Straight,straight,288000.0
4.800000000000001,0.0,0.7423999999999997,367.5,71.43518518518519,Main Straight,straight,288000.0
5.0,0.0,0.7423999999999997,382.5,72.08333333333333,Main Straight,straight,288000.0
5.2,0.0,0.7423999999999997,397.5,72.73148148148148,Main Straight,straight,288000.0
5.4,0.0,0.7423999999999997,412.5,73.37962962962963,Main Straight,straight,288000.0
5.6000000000000005,0.0,0.7423999999999997,427.5,74.02777777777777,Main Straight,straight,288000.0
5.800000000000001,0.0,0.7423999999999997,442.5,74.67592592592592,Main Straight,straight,288000.0
6.0,0.0,0.7423999999999997,457.5,75.32407407407408,Main Straight,straight,288000.0
6.2,0.0,0.7423999999999997,472.5,75.97222222222223,Main Straight,straight,288000.0
6.4,0.0,0.7423999999999997,487.49999999999994,76.62037037037037,Main Straight,straight,288000.0
6.6000000000000005,0.0,0.7423999999999997,502.5,77.26851851851852,Main Straight,straight,288000.0
6.800000000000001,0.0,0.7423999999999997,517.5,77.91666666666666,Main Straight,straight,288000.0
7.0,0.0,0.7423999999999997,532.5,78.56481481481481,Main Straight,straight,288000.0
7.2,0.0,0.7423999999999997,547.5,79.21296296296296,Main Straight,straight,288000.0
